location,latitude,longitude,aqi,last_updated,size
"Tanjung Harapan, Indonesia",-0.7693212,100.6350004,30,2024-05-27T04:00:00+09:00,1
Albury South-west Slopes,-36.05182,146.9398,69,2024-05-27T04:00:00+09:00,1
Riverina LLS Griffith,-34.2487,146.0695,20,2024-05-27T04:00:00+09:00,1
North Coast LLS Grafton,-29.620556,152.96333,7,2024-05-27T04:00:00+09:00,1
West Mackay,-21.1595,149.1549,0,2024-05-24T12:00:00+09:00,1
"Cibeureum, Indonesia",-6.939897,106.9506175,32,2024-05-27T04:00:00+09:00,1
"Sleman, Indonesia",-7.6894175,110.38129042693,92,2024-05-27T04:00:00+09:00,1
"Taumarunui Air Quality At Taumarunui, New Zealand",-38.886175,175.271046,17,2024-05-27T03:00:00+09:00,1
North West LLS Moree,-29.4897,149.8473,13,2024-05-27T04:00:00+09:00,1
Mutdapilly,-27.7528,152.6509,0,2024-05-24T12:00:00+09:00,1
Quinns Rocks,-31.6724164,115.7076161,3,2024-05-27T04:00:00+09:00,1
"Jambi, Indonesia",-1.6318964,103.6414547,83,2024-05-27T04:00:00+09:00,1
"Settlers-NAQI, eThekwini Metro, South Africa",-29.958742,30.978717,64,2024-05-26T23:00:00+09:00,1
Triabunna,-42.509,147.913,9,2024-05-27T03:00:00+09:00,1
Central Tablelands LLS Cowra,-33.8447,148.65,42,2024-05-27T04:00:00+09:00,1
Bendigo,-36.7784,144.300064,30,2024-05-27T04:00:00+09:00,1
Wyong Central Coast,-33.27896,151.4324,20,2024-05-27T04:00:00+09:00,1
Toowoomba,-27.535158,151.931893,0,2024-05-24T12:00:00+09:00,1
Emerald,-23.5208,148.165,0,2024-05-24T12:00:00+09:00,1
"Ashburton, New Zealand",-43.9083813,171.7485672,70,2024-05-27T04:00:00+09:00,1
"Blenheim Blenheim Bowling Club, New Zealand",-41.52663988,173.95608203,68,2024-05-27T03:00:00+09:00,1
Smithton,-40.85,145.133,34,2024-05-27T03:00:00+09:00,1
Wynyard,-40.992,145.718,21,2024-05-27T03:00:00+09:00,1
Melton,-37.7064552,144.5669,23,2024-05-27T04:00:00+09:00,1
Bushfire Monitoring Coffs Harbour,-30.29828,153.11811,12,2024-05-27T04:00:00+09:00,1
Lower-hunter Mayfield,-32.885055,151.728351,63,2024-05-27T04:00:00+09:00,1
"Grand Fond, Reunion, France",-21.044583333333,55.226713888889,10,2024-05-27T03:00:00+09:00,1
"Olievenhoutbosch-NAQI, City of Tshwane, South Africa",-25.911667,28.092939,276,2024-05-27T04:00:00+09:00,1
"Steelpoort, Sekhukhune, South Africa",-24.731501,30.134383,57,2024-05-26T23:00:00+09:00,1
"Te Kuiti Waitomo District Council, New Zealand",-38.337795515174,175.16533761581,30,2024-05-27T03:00:00+09:00,1
Gretna,-42.684,146.936,13,2024-05-27T03:00:00+09:00,1
Mooroolbark,-37.7749672,145.3285,49,2024-05-27T04:00:00+09:00,1
North Central CMA Wycheproof,-36.0971,143.3548,26,2024-05-27T04:00:00+09:00,1
North Coast LLS Lismore,-28.824444,153.256667,4,2024-05-27T04:00:00+09:00,1
"Pesawaran, Indonesia",-5.4559573,105.08469101016,110,2024-05-27T04:00:00+09:00,1
"Columbus, Alfred Nzo, South Africa",-25.809675,29.505702,65,2024-05-27T04:00:00+09:00,1
Hobart,-42.855,147.315,30,2024-05-27T03:00:00+09:00,1
Bright,-36.73228,146.9702,57,2024-05-27T04:00:00+09:00,1
Upper-hunter Merriwa,-32.125777,150.459299,16,2024-05-27T04:00:00+09:00,1
Narrabri North-west Slopes,-30.31842,149.82932,3,2024-05-27T04:00:00+09:00,1
"ES_Motherwell, Alfred Nzo, South Africa",-33.789662,25.618592,27,2024-05-27T03:00:00+09:00,1
"CBD RBCAA-NAQI, King Cetshwayo, South Africa",-28.7447,32.049242,63,2024-05-26T23:00:00+09:00,1
"Saldanha IDZ, West Coast, South Africa",-32.98312,17.98497,12,2024-05-27T04:00:00+09:00,1
"Mhluzi, Nkangala, South Africa",-25.74982,29.446818,2,2024-05-26T23:00:00+09:00,1
"Nelson South Nelson At St Vincent St, New Zealand",-41.27822953,173.27352648,21,2024-05-27T03:00:00+09:00,1
