location,latitude,longitude,aqi,last_updated,size
North West LLS Moree,-29.4897,149.8473,7,2024-05-27T17:00:00+09:00,1
"Samarinda, Indonesia",-0.4948232,117.1436154,15,2024-05-27T16:00:00+09:00,1
"Eskom-Grootvlei, Gert Sibande, South Africa",-26.764724,28.480081,12,2024-05-27T15:00:00+09:00,1
Kalgoorlie,-30.749,121.466,3,2024-05-27T18:00:00+09:00,1
"Maros, Indonesia",-4.9655024,119.69284341781,66,2024-05-27T18:00:00+09:00,1
"Blenheim Blenheim Bowling Club, New Zealand",-41.52663988,173.95608203,93,2024-05-27T17:00:00+09:00,1
"Taumarunui Air Quality At Taumarunui, New Zealand",-38.886175,175.271046,21,2024-05-27T16:00:00+09:00,1
Fingal,-41.638,147.967,30,2024-05-27T18:00:00+09:00,1
Bright,-36.73228,146.9702,51,2024-05-27T18:00:00+09:00,1
South East LLS Cooma,-36.2225,149.1335,30,2024-05-27T17:00:00+09:00,1
Western LLS Cobar,-31.4837,145.8293,26,2024-05-27T17:00:00+09:00,1
"Station Blvd Banks, Reunion, France",-21.331666666667,55.478638888889,21,2024-05-27T17:00:00+09:00,1
North Maclean,-27.7708,153.03,11,2024-05-27T18:00:00+09:00,1
Western LLS Coombah,-32.9786,141.489,5,2024-05-27T17:00:00+09:00,1
"Richmond Plunket AQ, New Zealand",-41.3395984,173.18316353,21,2024-05-27T17:00:00+09:00,1
"Hamilton Claudelands, New Zealand",-37.777543176927,175.28715904723,34,2024-05-27T17:00:00+09:00,1
Huonville,-43.03,147.05,38,2024-05-27T18:00:00+09:00,1
Wagga Wagga Nth South-west Slopes,-35.104407,147.360512,47,2024-05-27T17:00:00+09:00,1
Melton,-37.7064552,144.5669,26,2024-05-27T17:00:00+09:00,1
Singleton Singleton,-32.55748,151.1769,52,2024-05-27T17:00:00+09:00,1
Quinns Rocks,-31.6724164,115.7076161,5,2024-05-27T18:00:00+09:00,1
"Talang Betutu Palembang, Indonesia",-2.9419703,104.6688562,84,2024-05-27T18:00:00+09:00,1
"Columbus, Alfred Nzo, South Africa",-25.809675,29.505702,53,2024-05-27T18:00:00+09:00,1
Scottsdale,-41.162,147.515,46,2024-05-27T18:00:00+09:00,1
Rosedale,-38.15588,146.7842,41,2024-05-27T18:00:00+09:00,1
Central Tablelands LLS Cowra,-33.8447,148.65,49,2024-05-27T17:00:00+09:00,1
Rouse Hill Sydney North-west,-33.682778,150.903611,32,2024-05-27T17:00:00+09:00,1
Southport,-27.9612,153.4024,11,2024-05-27T18:00:00+09:00,1
"R D Tamarins St Leu, Reunion, France",-21.223063888889,55.302513888889,17,2024-05-27T17:00:00+09:00,1
"Marikana CC-NAQI, Bojanala Platinum, South Africa",-25.698444,27.480111,98,2024-05-27T18:00:00+09:00,1
"Taihape Air Quality At Taihape, New Zealand",-39.6778,175.80084,17,2024-05-27T17:00:00+09:00,1
Queenstown,-42.081,145.553,25,2024-05-27T18:00:00+09:00,1
Mallee CMA Walpeup,-35.1202,142.004,4,2024-05-27T17:00:00+09:00,1
Adelaide CBD,-34.928853,138.600943,40,2024-05-27T17:30:00+09:00,1
Western LLS Ivanhoe,-33.0548,144.154,10,2024-05-27T15:00:00+09:00,1
Geraldton,-28.7732192,114.6096326,8,2024-05-27T18:00:00+09:00,1
Mooroolbark,-37.7749672,145.3285,47,2024-05-27T18:00:00+09:00,1
Macleod,-37.722477,145.0576,34,2024-05-27T17:00:00+09:00,1
Wynnum West,-27.4296,153.1495,17,2024-05-27T18:00:00+09:00,1
Moranbah,-21.9995,148.071,42,2024-05-27T18:00:00+09:00,1
"CBD RBCAA-NAQI, King Cetshwayo, South Africa",-28.7447,32.049242,25,2024-05-27T15:00:00+09:00,1
"Worcester-NAQI, Cape Winelands, South Africa",-33.627489,19.468318,14,2024-05-27T15:00:00+09:00,1
"Cibeureum, Indonesia",-6.939897,106.9506175,40,2024-05-27T18:00:00+09:00,1
"Orange Farm, City of Johannesburg, South Africa",-26.479639,27.867111,30,2024-05-27T18:00:00+09:00,1
"Geraldine, New Zealand",-44.0911852,171.2437353,63,2024-05-27T17:00:00+09:00,1
"Takapuna, Auckland",-36.78,174.74,13,2024-05-27T16:00:00+09:00,1
Sheffield,-41.43,146.338,38,2024-05-27T18:00:00+09:00,1
Riverina LLS Temora,-34.4278,147.5117,49,2024-05-27T17:00:00+09:00,1
Maryborough,-25.5159,152.6894,11,2024-05-27T12:00:00+09:00,1
Western LLS Tibooburra,-29.4448,142.0568,3,2024-05-27T16:00:00+09:00,1
Wynyard,-40.992,145.718,42,2024-05-27T18:00:00+09:00,1
Wallsend Lower Hunter,-32.89439,151.6702,47,2024-05-27T18:00:00+09:00,1
Boyne Island,-23.9408,151.3507,11,2024-05-27T18:00:00+09:00,1
Blackwater,-23.5627,148.8807,11,2024-05-27T18:00:00+09:00,1
"Tanjung Harapan, Indonesia",-0.7693212,100.6350004,34,2024-05-27T18:00:00+09:00,1
"Embalenhle, Gert Sibande, South Africa",-26.551427,29.112381,124,2024-05-27T15:00:00+09:00,1
"Rangiora, New Zealand",-43.303356,172.5957246,212,2024-05-27T17:00:00+09:00,1
Liverpool Sydney South-west,-33.93134,150.9073,54,2024-05-27T17:00:00+09:00,1
Busselton,-33.6499446,115.3446115,10,2024-05-27T18:00:00+09:00,1
"Eskom-Medupi, Waterberg, South Africa",-23.738521,27.540346,5,2024-05-27T15:00:00+09:00,1
"Jakarta Central (US Consulate), Indonesia",-6.1603721,106.8473377,104,2024-05-27T17:00:00+09:00,1
"Hastings St Johns, New Zealand",-39.638873262,176.85880199271,154,2024-05-27T17:00:00+09:00,1
Murray LLS Deniliquin,-35.5575,144.9458,17,2024-05-27T17:00:00+09:00,1
Western LLS Euston,-34.443,142.889,7,2024-05-27T17:00:00+09:00,1
Western LLS Hillston,-33.491,145.5242,17,2024-05-27T17:00:00+09:00,1
Coastguard,-19.2526,146.8272,16,2024-05-27T18:00:00+09:00,1
"Palangka Raya, Indonesia",-2.21,113.92,30,2024-05-27T18:00:00+09:00,1
"Thames Thames High School, New Zealand",-37.14049055416,175.54629322731,8,2024-05-27T17:00:00+09:00,1
Brooklyn,-37.8220978,144.8471,56,2024-05-27T18:00:00+09:00,1
Port Macquarie Bushfire Emergency - Port Macquarie,-31.44747,152.87707,14,2024-05-27T17:00:00+09:00,1
"Pietermaritzburg Airport - ORIBI, uMgungundlovu, South Africa",-29.637583,30.337389,10,2024-05-27T17:00:00+09:00,1
Bream Creek,-42.819,147.817,13,2024-05-27T18:00:00+09:00,1
Murray LLS Kyalite,-35.0368,143.4895,10,2024-05-27T17:00:00+09:00,1
"Goodwood-NAQI, City of Cape Town, South Africa",-33.9025,18.565194,127,2024-05-27T18:00:00+09:00,1
"Olievenhoutbosch-NAQI, City of Tshwane, South Africa",-25.911667,28.092939,648,2024-05-27T15:00:00+09:00,1
"Tokoroa Billah Street, New Zealand",-38.221616742597,175.85843044074,46,2024-05-27T17:00:00+09:00,1
Gretna,-42.684,146.936,17,2024-05-27T18:00:00+09:00,1
Kembla Grange Illawarra,-34.47442,150.8192,53,2024-05-27T17:00:00+09:00,1
Albury South-west Slopes,-36.05182,146.9398,30,2024-05-27T17:00:00+09:00,1
Bushfire Monitoring Coffs Harbour,-30.29828,153.11811,24,2024-05-27T17:00:00+09:00,1
"Eskom-Kriel Village, Nkangala, South Africa",-26.251223,29.256391,38,2024-05-27T15:00:00+09:00,1
"Hermanus, Overberg, South Africa",-34.213,19.213,16,2024-05-27T18:00:00+09:00,1
Murray LLS Rand,-35.6296,146.4752,26,2024-05-27T17:00:00+09:00,1
North Central CMA Wycheproof,-36.0971,143.3548,7,2024-05-27T17:00:00+09:00,1
Mutdapilly,-27.7528,152.6509,11,2024-05-27T18:00:00+09:00,1
Collie,-33.3588705,116.1540412,5,2024-05-27T18:00:00+09:00,1
"Pesawaran, Indonesia",-5.4559573,105.08469101016,105,2024-05-27T18:00:00+09:00,1
"Mafikeng-NAQI, Ngaka Modiri Molema, South Africa",-25.835814,25.614534,36,2024-05-27T18:00:00+09:00,1
"Hammanskraal, City of Tshwane, South Africa",-25.38512,28.254542,32,2024-05-27T18:00:00+09:00,1
"North Farm, Polokwane, South Africa",-24.017956,29.475521,155,2024-05-27T18:00:00+09:00,1
"Taupo Gillies Ave, New Zealand",-38.691894931917,176.09117495496,55,2024-05-27T17:00:00+09:00,1
GeelongSth.,-38.17356,144.3703,41,2024-05-27T18:00:00+09:00,1
"Logicoop, New Caledonia",-22.235411111111,166.43382777778,30,2024-05-27T16:00:00+09:00,1
The Gap,-20.7264,139.4977,11,2024-05-27T18:00:00+09:00,1
"Bengkulu, Indonesia",-3.5186763,102.5359834,52,2024-05-27T18:00:00+09:00,1
"Antananarivo US Embassy, Madagascar",-18.908479690552,47.537509918213,63,2024-05-27T18:00:00+09:00,1
Oatlands,-42.3,147.372,57,2024-05-27T18:00:00+09:00,1
"Monash, Canberra",-35.418302,149.094018,65,2024-05-27T18:00:00+09:00,1
North West LLS Gunnedah,-30.981667,150.260556,42,2024-05-27T17:00:00+09:00,1
"Te Kuiti Waitomo District Council, New Zealand",-38.337795515174,175.16533761581,42,2024-05-27T17:00:00+09:00,1
Bargo Sydney South-west,-34.30619,150.5805,33,2024-05-27T17:00:00+09:00,1
Goulburn Southern Tablelands,-34.73452,149.72416,52,2024-05-27T17:00:00+09:00,1
Orange Central Tablelands,-33.27429,149.09447,27,2024-05-27T17:00:00+09:00,1
"Hambanathi Tongaat, eThekwini Metro, South Africa",-29.557419444444,31.120063888889,0,2024-05-24T15:00:00+09:00,1
Wangaratta,-36.36926,146.3133,62,2024-05-27T18:00:00+09:00,1
North Coast LLS Lismore,-28.824444,153.256667,5,2024-05-27T17:00:00+09:00,1
